Municipio;UF;Regiao;Ano;Populacao;PessoalOcupado;PessoalAssalariado;PIB;QtEmpresas;AreaPlantada_h;VlProducaoAgricola;VlProducaoPecuaria;Area;NrNascimentos;NrObitosInfantis;povoamento;Exportacoes_R$
Abadia de Goiás;GO;Centro-Oeste;2018,5;8622,0;2031,83;1629,67;212716800,0;340,17;6666,67;13000,0;5333,33;146,8;219,5;4,0;58,73;139369,21
Abadia dos Dourados;MG;Sudeste;2018,5;7014,17;1965,17;1535,0;149000200,0;360,5;35000,0;40000,0;42666,67;881,1;56,5;0,67;7,96;0,0
Abadiânia;GO;Centro-Oeste;2018,5;19698,67;2411,17;2059,67;336107600,0;317,17;145000,0;53000,0;32666,67;1045,1;186,5;3,33;18,85;93545,81
Abaetetuba;PA;Norte;2018,5;156470,5;10769,33;9597,5;1429141200,0;444,69;563333,33;376666,67;0,0;1610,6;2,64;39,5;97,15;291258,09
Abaeté;MG;Sudeste;2018,5;23359,67;4173,0;3322,17;484986600,0;617,33;36666,67;29833,33;141166,67;1817,1;232,5;2,83;12,86;111538,16
Abaiara;CE;Nordeste;2018,5;11717,67;872,33;801,83;91513200,0;65,17;40000,0;4000,0;5000,0;178,8;141,17;1,83;65,54;0,0
Abaré;BA;Nordeste;2018,5;20161,5;1114,83;1012,17;144647200,0;86,67;56666,67;40833,33;0,0;1485,0;288,5;5,17;13,58;499584,4
Abatiá;PR;Sul;2018,5;7549,17;1167,33;778,5;186416000,0;254,0;540000,0;87500,0;4833,33;228,7;100,33;1,33;33,01;0,0
Abaíra;BA;Nordeste;2018,5;8884,67;715,83;539,17;62475600,0;184,0;0,0;12500,0;0,0;530,5;47,83;0,83;16,75;0,0
Abdon Batista;SC;Sul;2018,5;2573,83;505,67;419,83;64087000,0;85,83;21666,67;51500,0;2166,67;235,6;29,17;0,0;10,92;0,0
Abel Figueiredo;PA;Norte;2018,5;7374,67;707,5;636,67;84019600,0;67,17;58333,33;16500,0;4166,67;614,3;125,17;2,83;12,0;47674,13
Abelardo Luz;SC;Sul;2018,5;17892,5;2437,67;2022,17;674410600,0;504,17;778333,33;403833,33;42000,0;955,4;299,0;3,67;18,73;29542,63
Abre Campo;MG;Sudeste;2018,5;13542,67;1972,5;1522,17;198303600,0;352,0;53333,33;66500,0;37500,0;470,6;159,17;0,83;28,78;0,0
Abreu e Lima;PE;Nordeste;2018,5;99835,0;10942,33;9937,83;1749704200,0;854,0;0,0;5500,0;3833,33;130,3;1,4;13,83;766,19;278542117,35
Abreulândia;TO;Norte;2018,5;2578,67;248,33;214,0;57385800,0;27,83;371666,67;82500,0;4166,67;1895,2;34,33;0,83;1,36;0,0
Acaiaca;MG;Sudeste;2018,5;4017,17;1214,17;1052,5;46686400,0;57,33;0,0;1833,33;4500,0;101,9;44,83;0,67;39,42;0,0
