Ano,UF,PIB_per_capita
2016,AC,13696.689451426722
2016,AL,11188.975272469834
2016,AM,9664.776731120175
2016,AP,16830.72644824098
2016,BA,11139.893388217964
2016,CE,9464.918900406565
2016,DF,79114.19426739612
2016,ES,21225.206922528934
2016,GO,26426.985510614013
2016,MA,8764.460219535724
2016,MG,18009.609671001912
2016,MS,36306.52854192527
2016,MT,36382.28587844942
2016,PA,13473.321491796549
2016,PB,9491.394614291346
2016,PE,11130.256665536588
2016,PI,8158.757870296701
2016,PR,29181.56020044575
2016,RJ,30952.268051429743
2016,RN,12035.637579932152
2016,RO,18359.08824373193
2016,RR,15798.09049801679
2016,RS,33852.61761220411
2016,SC,30771.034416186645
2016,SE,12882.465412095144
2016,SP,30923.267296730963
2016,TO,16477.284212576873
2017,AC,13956.209555948344
2017,AL,12733.473481196734
2017,AM,10090.67899066518
2017,AP,18559.93419747844
2017,BA,11319.771359670074
2017,CE,10654.4080411786
2017,DF,80515.46565753473
2017,ES,23689.3431309094
2017,GO,27376.16023118993
2017,MA,9520.569773535392
2017,MG,18825.47677309594
2017,MS,36697.04627606125
2017,MT,36103.33470540276
2017,PA,15752.546440737811
2017,PB,10017.707762275635
2017,PE,12171.720609414093
2017,PI,9978.47851498704
2017,PR,30288.9239220792
2017,RJ,32728.56371489584
2017,RN,13802.26064632788
2017,RO,20246.607509073478
2017,RR,17022.500345012082
2017,RS,33930.19640753094
2017,SC,32179.6735972023
2017,SE,13768.633046837724
2017,SP,32827.37993908069
2017,TO,18078.402456042983
2018,AC,13846.87999931355
2018,AL,13414.802085669246
2018,AM,10992.522953719552
2018,AP,18796.78176574039
2018,BA,12761.127917073823
2018,CE,10929.57744187224
2018,DF,85661.39375930975
2018,ES,29968.786172858032
2018,GO,28260.44820068905
2018,MA,10228.231036072477
2018,MG,19993.1837183346
2018,MS,41560.56662962594
2018,MT,38239.85086080832
2018,PA,16956.5226967921
2018,PB,10562.561565841246
2018,PE,12620.832072571582
2018,PI,11167.43268124429
2018,PR,32248.162712135752
2018,RJ,37414.85520118731
2018,RN,14807.358360082912
2018,RO,22405.377845900606
2018,RR,17192.10058037996
2018,RS,37823.78020068378
2018,SC,33711.64184875867
2018,SE,13861.925179791151
2018,SP,32876.5193531282
2018,TO,18966.75182006817
2019,AC,13784.106010621985
2019,AL,14556.66347766412
2019,AM,11650.179478800528
2019,AP,18868.102736827856
2019,BA,13200.50955112998
2019,CE,11617.09243980536
2019,DF,90742.75022983032
2019,ES,29504.867855851648
2019,GO,29960.139376016246
2019,MA,10272.003584316108
2019,MG,21400.026571949074
2019,MS,40290.23487826148
2019,MT,39496.71472144274
2019,PA,18141.55023906675
2019,PB,10953.086869392624
2019,PE,13416.441026351791
2019,PI,11626.450820535358
2019,PR,32459.538127132942
2019,RJ,40063.26111860449
2019,RN,16052.2145438347
2019,RO,22967.764493182727
2019,RR,18128.97301630073
2019,RS,39663.89161049488
2019,SC,36378.65342935488
2019,SE,15273.39791496673
2019,SP,34568.55631126098
2019,TO,20793.995899509133
2020,AC,21624.079483544985
2020,AL,21131.000733699628
2020,AM,12094.528343560938
2020,AP,20295.358173576024
2020,BA,16915.191616494507
2020,CE,12504.510638443286
2020,DF,87016.15993197059
2020,ES,29349.301346936405
2020,GO,34965.442061229376
2020,MA,13338.062697313262
2020,MG,24097.164772880456
2020,MS,49062.05617488471
2020,MT,54198.67141280212
2020,PA,26124.746760054957
2020,PB,12084.799953516009
2020,PE,13597.080376190585
2020,PI,14294.245082983707
2020,PR,39944.93583099321
2020,RJ,40460.94608039323
2020,RN,18795.03529945987
2020,RO,25283.592763037163
2020,RR,20761.62381429818
2020,RS,40246.81933008959
2020,SC,42870.315369674514
2020,SE,19664.617106950896
2020,SP,39111.83371174183
2020,TO,26776.98073375241
