Ano,Regiao,PIB_per_capita
2016,Centro-Oeste,31.20593168457078
2016,Nordeste,10.261661422968995
2016,Norte,14.651461856240756
2016,Sudeste,23.867433606981354
2016,Sul,31.52378277741901
2017,Centro-Oeste,31.69096713631937
2017,Nordeste,11.206273695671284
2017,Norte,16.265681142258895
2017,Sudeste,25.234165691929995
2017,Sul,32.27550709345557
2018,Centro-Oeste,33.62934510646698
2018,Nordeste,12.05381931779014
2018,Norte,17.3074358500905
2018,Sudeste,26.402441663368858
2018,Sul,34.93697219138688
2019,Centro-Oeste,34.70517625098208
2019,Nordeste,12.659471327901995
2019,Norte,18.437230661062113
2019,Sudeste,27.900564269966385
2019,Sul,36.43399950027987
2020,Centro-Oeste,43.25615441596674
2020,Nordeste,15.289902384367284
2020,Norte,23.68446887814662
2020,Sudeste,31.051359016665298
2020,Sul,40.79246985488667
2021,Centro-Oeste,555879.5679745877
2021,Nordeste,199407.9688555563
2021,Norte,306274.9325594504
2021,Sudeste,389332.56870868395
2021,Sul,534406.3765744513
