Ano,Regiao,NrObitosInfantis
2016,Centro-Oeste,6.390557939914163
2016,Nordeste,6.406354515050167
2016,Norte,10.612472160356347
2016,Sudeste,6.128273980815347
2016,Sul,3.281144781144781
2017,Centro-Oeste,6.105150214592275
2017,Nordeste,6.398550724637682
2017,Norte,10.734966592427616
2017,Sudeste,6.670200239808153
2017,Sul,3.393097643097643
2018,Centro-Oeste,6.225321888412017
2018,Nordeste,6.29654403567447
2018,Norte,10.89086859688196
2018,Sudeste,6.588024580335732
2018,Sul,3.308922558922559
2019,Centro-Oeste,6.124463519313305
2019,Nordeste,6.1438127090301
2019,Norte,10.538975501113585
2019,Sudeste,6.54902757793765
2019,Sul,3.3223905723905722
2020,Centro-Oeste,5.532188841201717
2020,Nordeste,5.564659977703456
2020,Norte,9.752783964365257
2020,Sudeste,5.735314748201438
2020,Sul,2.8594276094276094
2021,Centro-Oeste,5.766094420600858
2021,Nordeste,5.59866220735786
2021,Norte,10.329621380846325
2021,Sudeste,5.7688369304556355
2021,Sul,2.882996632996633
